  alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  30.000   1.0672   0.35113   0.34333  -0.1443   0.0715   1.0000
  30.250   1.0752   0.35463   0.34686  -0.1462   0.0701   1.0000
  30.750   1.0886   0.36013   0.35238  -0.1513   0.0687   1.0000
  31.000   1.0943   0.36100   0.35327  -0.1547   0.0677   1.0000
  31.250   1.1007   0.36293   0.35523  -0.1576   0.0663   1.0000
  31.500   1.1073   0.36517   0.35751  -0.1602   0.0650   1.0000
  31.750   1.1141   0.36761   0.35998  -0.1627   0.0638   1.0000
  32.000   1.1211   0.37067   0.36306  -0.1648   0.0626   1.0000
  32.250   1.1292   0.37652   0.36896  -0.1661   0.0618   1.0000
  32.500   1.1340   0.37665   0.36908  -0.1697   0.0614   1.0000
  32.750   1.1392   0.37709   0.36954  -0.1733   0.0606   1.0000
  33.000   1.1451   0.37882   0.37130  -0.1763   0.0593   1.0000
  33.250   1.1511   0.38090   0.37342  -0.1790   0.0580   1.0000
  33.500   1.1572   0.38315   0.37570  -0.1815   0.0569   1.0000
  33.750   1.1634   0.38572   0.37829  -0.1839   0.0560   1.0000
  34.000   1.1698   0.38954   0.38215  -0.1858   0.0552   1.0000
  34.500   1.1804   0.39280   0.38543  -0.1920   0.0544   1.0000
  34.750   1.1856   0.39400   0.38667  -0.1952   0.0535   1.0000
  35.000   1.1910   0.39578   0.38849  -0.1982   0.0524   1.0000
  35.250   1.1963   0.39777   0.39050  -0.2009   0.0513   1.0000
  35.500   1.2017   0.39989   0.39266  -0.2035   0.0503   1.0000
  35.750   1.2072   0.40246   0.39526  -0.2059   0.0495   1.0000
  36.000   1.2128   0.40678   0.39962  -0.2077   0.0489   1.0000
  36.250   1.2174   0.40779   0.40063  -0.2110   0.0486   1.0000
  36.500   1.2218   0.40841   0.40129  -0.2144   0.0482   1.0000
  36.750   1.2266   0.40974   0.40264  -0.2176   0.0475   1.0000
  37.000   1.2313   0.41136   0.40430  -0.2206   0.0466   1.0000
  37.250   1.2359   0.41308   0.40605  -0.2234   0.0457   1.0000
  37.500   1.2406   0.41486   0.40787  -0.2261   0.0448   1.0000
  37.750   1.2451   0.41688   0.40992  -0.2287   0.0441   1.0000
  38.000   1.2497   0.41998   0.41306  -0.2309   0.0434   1.0000
  38.500   1.2578   0.42226   0.41538  -0.2372   0.0428   1.0000
  38.750   1.2618   0.42336   0.41651  -0.2404   0.0423   1.0000
